"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/2023","154.54","154.54","155.04","153.15","7.90M","-0.34%"
"02/06/2023","156.97","154.72","157.31","154.09","7.66M","1.57%"
"05/06/2023","158.32","156.75","158.64","156.39","6.83M","0.86%"
"06/06/2023","158.18","159.58","159.61","157.40","5.07M","-0.09%"
"07/06/2023","158.52","158.10","158.80","157.44","6.50M","0.21%"
"08/06/2023","160.26","158.50","160.42","157.82","5.82M","1.10%"
"09/06/2023","160.01","160.42","160.73","159.46","6.26M","-0.16%"
"12/06/2023","159.90","160.00","160.25","158.73","6.51M","-0.07%"
"13/06/2023","160.74","159.73","160.84","159.15","6.07M","0.53%"
"14/06/2023","161.56","161.60","162.08","160.98","6.70M","0.51%"
"15/06/2023","163.73","162.05","163.91","161.43","7.14M","1.34%"
"16/06/2023","164.23","164.48","164.99","163.87","13.43M","0.31%"
"20/06/2023","164.13","164.26","165.31","163.81","8.00M","-0.06%"
"21/06/2023","163.88","163.58","164.92","162.69","7.18M","-0.15%"
"22/06/2023","165.62","163.90","165.72","163.79","5.49M","1.06%"
"23/06/2023","165.48","166.11","166.27","165.03","9.45M","-0.08%"
"26/06/2023","163.63","164.98","164.98","161.33","6.98M","-1.12%"
"27/06/2023","163.29","163.68","163.88","162.44","4.93M","-0.21%"
"28/06/2023","162.96","163.20","163.20","161.91","6.78M","-0.20%"
"29/06/2023","164.10","162.64","164.32","162.23","4.55M","0.70%"
"30/06/2023","165.52","164.86","165.94","164.35","7.58M","0.87%"
"03/07/2023","163.35","164.34","164.39","162.96","4.03M","-1.31%"
"05/07/2023","162.81","162.99","163.92","162.73","7.23M","-0.33%"
"06/07/2023","161.60","162.25","162.37","161.00","6.33M","-0.74%"
"07/07/2023","159.25","160.47","161.04","159.20","7.02M","-1.45%"
"10/07/2023","159.51","159.43","160.30","159.00","5.74M","0.16%"
"11/07/2023","158.63","159.13","160.30","157.60","6.61M","-0.55%"
"12/07/2023","158.08","158.94","158.94","157.88","6.94M","-0.35%"
"13/07/2023","158.81","158.00","159.13","157.41","6.40M","0.46%"
"14/07/2023","159.87","159.18","160.23","158.98","5.36M","0.67%"
"17/07/2023","159.07","159.75","159.87","158.15","5.49M","-0.50%"
"18/07/2023","159.06","159.07","160.89","158.19","6.33M","-0.01%"
"19/07/2023","158.74","157.91","160.41","157.33","7.52M","-0.20%"
"20/07/2023","168.38","161.94","169.14","161.30","21.89M","6.07%"
"21/07/2023","170.19","168.18","170.82","168.18","12.08M","1.07%"
"24/07/2023","171.08","171.50","173.82","170.99","15.16M","0.52%"
"25/07/2023","172.39","170.45","172.68","169.75","13.79M","0.77%"
